,M,t,x,u_actual,u_pred
5480,4.5,0.03,0.26,0.0,0.06967579
5481,4.5,0.03,0.27,0.0,0.06823017
5482,4.5,0.03,0.28,0.0,0.067210644
5483,4.5,0.03,0.29,0.0,0.06652636
5484,4.5,0.03,0.3,0.0,0.06610653
5485,4.5,0.03,0.31,0.0,0.06589581
5486,4.5,0.03,0.32,0.0,0.06585062
5487,4.5,0.03,0.33,0.0,0.06593642
5488,4.5,0.03,0.34,0.0,0.06612575
5489,4.5,0.03,0.35,0.0,0.06639656
5490,4.5,0.03,0.36,0.0,0.06673115
5491,4.5,0.03,0.37,0.0,0.0671153
5492,4.5,0.03,0.38,0.0,0.06753744
5493,4.5,0.03,0.39,0.0,0.0679881
5494,4.5,0.03,0.4,0.0,0.06845973
5495,4.5,0.03,0.41,0.0,0.068946
5496,4.5,0.03,0.42,0.0,0.06944188
5497,4.5,0.03,0.43,0.0,0.069943205
5498,4.5,0.03,0.44,0.0,0.070446536
5499,4.5,0.03,0.45,0.0,0.0709492
5500,4.5,0.03,0.46,0.0,0.071448855
5501,4.5,0.03,0.47,0.0,0.07194378
5502,4.5,0.03,0.48,0.0,0.07243241
5503,4.5,0.03,0.49,0.0,0.07291365
5504,4.5,0.03,0.5,0.0,0.07338652
5505,4.5,0.03,0.51,0.0,0.07385032
5506,4.5,0.03,0.52,0.0,0.07430451
5507,4.5,0.03,0.53,0.0,0.07474867
5508,4.5,0.03,0.54,0.0,0.07518242
5509,4.5,0.03,0.55,0.0,0.0756057
5510,4.5,0.03,0.56,0.0,0.07601829
5511,4.5,0.03,0.57,0.0,0.07642017
5512,4.5,0.03,0.58,0.0,0.07681135
5513,4.5,0.03,0.59,0.0,0.07719187
5514,4.5,0.03,0.6,0.0,0.07756181
5515,4.5,0.03,0.61,0.0,0.0779213
5516,4.5,0.03,0.62,0.0,0.078270495
5517,4.5,0.03,0.63,0.0,0.07860953
5518,4.5,0.03,0.64,0.0,0.07893859
5519,4.5,0.03,0.65,0.0,0.07925791
5520,4.5,0.03,0.66,0.0,0.07956766
5521,4.5,0.03,0.67,0.0,0.07986802
5522,4.5,0.03,0.68,0.0,0.08015926
5523,4.5,0.03,0.69,0.0,0.08044157
5524,4.5,0.03,0.7,0.0,0.080715165
5525,4.5,0.03,0.71,0.0,0.08098027
5526,4.5,0.03,0.72,0.0,0.081237115
5527,4.5,0.03,0.73,0.0,0.08148591
5528,4.5,0.03,0.74,0.0,0.08172686
5529,4.5,0.03,0.75,0.0,0.0819602
5530,4.5,0.03,0.76,0.0,0.08218608
5531,4.5,0.03,0.77,0.0,0.08240481
5532,4.5,0.03,0.78,0.0,0.082616486
5533,4.5,0.03,0.79,0.0,0.08282137
5534,4.5,0.03,0.8,0.0,0.08301967
5535,4.5,0.03,0.81,0.0,0.08321148
5536,4.5,0.03,0.82,0.0,0.083397135
5537,4.5,0.03,0.83,0.0,0.08357666
5538,4.5,0.03,0.84,0.0,0.08375032
5539,4.5,0.03,0.85,0.0,0.08391832
5540,4.5,0.03,0.86,0.0,0.08408068
5541,4.5,0.03,0.87,0.0,0.08423773
5542,4.5,0.03,0.88,0.0,0.0843895
5543,4.5,0.03,0.89,0.0,0.084536195
5544,4.5,0.03,0.9,0.0,0.08467799
5545,4.5,0.03,0.91,0.0,0.084815
5546,4.5,0.03,0.92,0.0,0.08494736
5547,4.5,0.03,0.93,0.0,0.085075215
5548,4.5,0.03,0.94,0.0,0.08519871
5549,4.5,0.03,0.95,0.0,0.08531791
5550,4.5,0.03,0.96,0.0,0.08543302
5551,4.5,0.03,0.97,0.0,0.08554413
5552,4.5,0.03,0.98,0.0,0.08565134
5553,4.5,0.03,0.99,0.0,0.085754804
5554,4.5,0.03,1.0,0.0,0.08585456
5556,4.5,0.04,0.01,0.7504451,0.437275
5557,4.5,0.04,0.02,0.6499785,0.656505
5558,4.5,0.04,0.03,0.5839251999999999,0.70165944
5559,4.5,0.04,0.04,0.5330590999999999,0.6763177
5560,4.5,0.04,0.05,0.49024639999999997,0.64940804
5561,4.5,0.04,0.06,0.4517865,0.6179099
5562,4.5,0.04,0.07,0.0,0.5818343
5563,4.5,0.04,0.08,0.0,0.54170084
5564,4.5,0.04,0.09,0.0,0.49795997
5565,4.5,0.04,0.1,0.0,0.45145077
5566,4.5,0.04,0.11,0.0,0.4034212
5567,4.5,0.04,0.12,0.0,0.35545138
5568,4.5,0.04,0.13,0.0,0.3092561
5569,4.5,0.04,0.14,0.0,0.26641947
5570,4.5,0.04,0.15,0.0,0.22814022
5571,4.5,0.04,0.16,0.0,0.19508454
5572,4.5,0.04,0.17,0.0,0.16737926
5573,4.5,0.04,0.18,0.0,0.14472125
5574,4.5,0.04,0.19,0.0,0.12654103
5575,4.5,0.04,0.2,0.0,0.11215808
5576,4.5,0.04,0.21,0.0,0.10089255
5577,4.5,0.04,0.22,0.0,0.092131026
5578,4.5,0.04,0.23,0.0,0.0853531
5579,4.5,0.04,0.24,0.0,0.080134585
5580,4.5,0.04,0.25,0.0,0.076137975
5581,4.5,0.04,0.26,0.0,0.07309843
5582,4.5,0.04,0.27,0.0,0.07080975
5583,4.5,0.04,0.28,0.0,0.069111824
5584,4.5,0.04,0.29,0.0,0.067880034
5585,4.5,0.04,0.3,0.0,0.06701725
5586,4.5,0.04,0.31,0.0,0.06644737
5587,4.5,0.04,0.32,0.0,0.06611046
5588,4.5,0.04,0.33,0.0,0.06595912
5589,4.5,0.04,0.34,0.0,0.06595568
5590,4.5,0.04,0.35,0.0,0.06606993
5591,4.5,0.04,0.36,0.0,0.06627769
5592,4.5,0.04,0.37,0.0,0.0665594
5593,4.5,0.04,0.38,0.0,0.06689926
5594,4.5,0.04,0.39,0.0,0.06728433
5595,4.5,0.04,0.4,0.0,0.06770424
5596,4.5,0.04,0.41,0.0,0.06815033
5597,4.5,0.04,0.42,0.0,0.068615586
5598,4.5,0.04,0.43,0.0,0.06909431
5599,4.5,0.04,0.44,0.0,0.069581755
5600,4.5,0.04,0.45,0.0,0.07007405
5601,4.5,0.04,0.46,0.0,0.07056807
5602,4.5,0.04,0.47,0.0,0.07106116
5603,4.5,0.04,0.48,0.0,0.07155126
5604,4.5,0.04,0.49,0.0,0.072036624
5605,4.5,0.04,0.5,0.0,0.0725159
5606,4.5,0.04,0.51,0.0,0.072987884
5607,4.5,0.04,0.52,0.0,0.07345176
5608,4.5,0.04,0.53,0.0,0.073906854
5609,4.5,0.04,0.54,0.0,0.07435261
5610,4.5,0.04,0.55,0.0,0.07478858
5611,4.5,0.04,0.56,0.0,0.07521452
5612,4.5,0.04,0.57,0.0,0.07563025
5613,4.5,0.04,0.58,0.0,0.076035604
5614,4.5,0.04,0.59,0.0,0.076430574
5615,4.5,0.04,0.6,0.0,0.07681508
5616,4.5,0.04,0.61,0.0,0.07718929
5617,4.5,0.04,0.62,0.0,0.07755316
5618,4.5,0.04,0.63,0.0,0.07790687
5619,4.5,0.04,0.64,0.0,0.07825053
5620,4.5,0.04,0.65,0.0,0.07858432
5621,4.5,0.04,0.66,0.0,0.07890841
5622,4.5,0.04,0.67,0.0,0.07922299
5623,4.5,0.04,0.68,0.0,0.07952815
5624,4.5,0.04,0.69,0.0,0.079824276
5625,4.5,0.04,0.7,0.0,0.08011139
5626,4.5,0.04,0.71,0.0,0.08038982
5627,4.5,0.04,0.72,0.0,0.08065973
5628,4.5,0.04,0.73,0.0,0.080921315
5629,4.5,0.04,0.74,0.0,0.08117485
5630,4.5,0.04,0.75,0.0,0.08142049
5631,4.5,0.04,0.76,0.0,0.081658445
5632,4.5,0.04,0.77,0.0,0.08188895
5633,4.5,0.04,0.78,0.0,0.08211219
5634,4.5,0.04,0.79,0.0,0.082328364
5635,4.5,0.04,0.8,0.0,0.08253766
5636,4.5,0.04,0.81,0.0,0.08274031
5637,4.5,0.04,0.82,0.0,0.08293643
5638,4.5,0.04,0.83,0.0,0.08312623
5639,4.5,0.04,0.84,0.0,0.08330998
5640,4.5,0.04,0.85,0.0,0.08348772
5641,4.5,0.04,0.86,0.0,0.08365973
5642,4.5,0.04,0.87,0.0,0.08382606
5643,4.5,0.04,0.88,0.0,0.08398698
5644,4.5,0.04,0.89,0.0,0.08414262
5645,4.5,0.04,0.9,0.0,0.084293075
5646,4.5,0.04,0.91,0.0,0.084438555
5647,4.5,0.04,0.92,0.0,0.084579185
5648,4.5,0.04,0.93,0.0,0.084715106
5649,4.5,0.04,0.94,0.0,0.08484645
5650,4.5,0.04,0.95,0.0,0.08497333
5651,4.5,0.04,0.96,0.0,0.085095964
5652,4.5,0.04,0.97,0.0,0.08521438
5653,4.5,0.04,0.98,0.0,0.08532872
5654,4.5,0.04,0.99,0.0,0.08543913
5655,4.5,0.04,1.0,0.0,0.08554568
5657,4.5,0.05,0.01,0.7793379,0.46929657
5658,4.5,0.05,0.02,0.6840090999999999,0.6712791
5659,4.5,0.05,0.03,0.6209839,0.71254146
5660,4.5,0.05,0.04,0.5728481,0.69044423
5661,4.5,0.05,0.05,0.5330590999999999,0.6666525
5662,4.5,0.05,0.06,0.498367,0.63882923
5663,4.5,0.05,0.07,0.46682399999999996,0.6069254
5664,4.5,0.05,0.08,0.4370294,0.5712626
5665,4.5,0.05,0.09,0.0,0.5320188
5666,4.5,0.05,0.1,0.0,0.48963916
5667,4.5,0.05,0.11,0.0,0.44490173
5668,4.5,0.05,0.12,0.0,0.39892682
5669,4.5,0.05,0.13,0.0,0.35310328
5670,4.5,0.05,0.14,0.0,0.30892673
5671,4.5,0.05,0.15,0.0,0.26778632
5672,4.5,0.05,0.16,0.0,0.23075889
5673,4.5,0.05,0.17,0.0,0.19848011
5674,4.5,0.05,0.18,0.0,0.17112577
5675,4.5,0.05,0.19,0.0,0.14848876
5676,4.5,0.05,0.2,0.0,0.130108
5677,4.5,0.05,0.21,0.0,0.11539737
5678,4.5,0.05,0.22,0.0,0.103747964
5679,4.5,0.05,0.23,0.0,0.09459395
5680,4.5,0.05,0.24,0.0,0.08744252
5681,4.5,0.05,0.25,0.0,0.08188347
5682,4.5,0.05,0.26,0.0,0.077584416
5683,4.5,0.05,0.27,0.0,0.07428085
5684,4.5,0.05,0.28,0.0,0.071764044
5685,4.5,0.05,0.29,0.0,0.069870375
5686,4.5,0.05,0.3,0.0,0.06847122
5687,4.5,0.05,0.31,0.0,0.06746571
5688,4.5,0.05,0.32,0.0,0.06677422
5689,4.5,0.05,0.33,0.0,0.066333875
5690,4.5,0.05,0.34,0.0,0.06609453
5691,4.5,0.05,0.35,0.0,0.06601624
5692,4.5,0.05,0.36,0.0,0.0660669
5693,4.5,0.05,0.37,0.0,0.06622062
5694,4.5,0.05,0.38,0.0,0.066456445
5695,4.5,0.05,0.39,0.0,0.06675743
5696,4.5,0.05,0.4,0.0,0.067109615
5697,4.5,0.05,0.41,0.0,0.06750172
5698,4.5,0.05,0.42,0.0,0.0679244
5699,4.5,0.05,0.43,0.0,0.06837006
5700,4.5,0.05,0.44,0.0,0.06883241
5701,4.5,0.05,0.45,0.0,0.06930626
5702,4.5,0.05,0.46,0.0,0.069787435
5703,4.5,0.05,0.47,0.0,0.07027236
5704,4.5,0.05,0.48,0.0,0.07075821
5705,4.5,0.05,0.49,0.0,0.07124258
5706,4.5,0.05,0.5,0.0,0.07172357
5707,4.5,0.05,0.51,0.0,0.072199576
5708,4.5,0.05,0.52,0.0,0.07266941
5709,4.5,0.05,0.53,0.0,0.07313197
5710,4.5,0.05,0.54,0.0,0.07358647
5711,4.5,0.05,0.55,0.0,0.07403227
5712,4.5,0.05,0.56,0.0,0.07446885
5713,4.5,0.05,0.57,0.0,0.07489592
5714,4.5,0.05,0.58,0.0,0.075313136
5715,4.5,0.05,0.59,0.0,0.07572037
5716,4.5,0.05,0.6,0.0,0.0761175
5717,4.5,0.05,0.61,0.0,0.076504484
5718,4.5,0.05,0.62,0.0,0.07688128
5719,4.5,0.05,0.63,0.0,0.07724803
5720,4.5,0.05,0.64,0.0,0.07760475
5721,4.5,0.05,0.65,0.0,0.077951536
5722,4.5,0.05,0.66,0.0,0.078288555
5723,4.5,0.05,0.67,0.0,0.078615956
5724,4.5,0.05,0.68,0.0,0.07893387
5725,4.5,0.05,0.69,0.0,0.079242535
5726,4.5,0.05,0.7,0.0,0.07954212
5727,4.5,0.05,0.71,0.0,0.07983279
5728,4.5,0.05,0.72,0.0,0.08011473
5729,4.5,0.05,0.73,0.0,0.080388166
5730,4.5,0.05,0.74,0.0,0.0806533
5731,4.5,0.05,0.75,0.0,0.08091038
5732,4.5,0.05,0.76,0.0,0.08115951
5733,4.5,0.05,0.77,0.0,0.081401
5734,4.5,0.05,0.78,0.0,0.081634976
5735,4.5,0.05,0.79,0.0,0.08186165
5736,4.5,0.05,0.8,0.0,0.08208127
5737,4.5,0.05,0.81,0.0,0.08229395
5738,4.5,0.05,0.82,0.0,0.08249995
5739,4.5,0.05,0.83,0.0,0.0826994
5740,4.5,0.05,0.84,0.0,0.08289252
